Column (IfcColumn),,,,,,,,"Predefined Type, IFC 4",object type override data sample,
"IfcColumn is a vertical structural member which often is aligned with a structural grid intersection. It represents a vertical, or nearly vertical, structural member that transmits, through compression, the weight of the structure above to other structural elements below. It represents such a member from an architectural point of view. It is not required to be load bearing.",,,,,,,,"COLUMN, PILASTER, PIERSTEM, PIERSTEM_SEGMENT, STANDCOLUMN",/,
Attribute,IFC Reference,Property Set,Description,User Input (YES/NO),Data Type,Data Sample,Preliminary Permit,Final Permit,Inspection Permits,
PredefinedType,PredefinedType,-,"Holds the entity specific enumerations from the IFC standard that classifies the entity. If a custom value is needed, the attribute ObjectTypeOverride has to be used to define such custom type, whereas the PredefinedType is set to USERDEFINED.",YES,Text,COLUMN,-,-,-,
Length,Length,Qto_ColumnBaseQuantities,IFC Standard Property.,NO,Number (unit in meter),1,-,Required,-,
Area,Area,Qto_ColumnBaseQuantities,IFC Standard Property.,NO,Number (unit in m2),1,-,Required,-,
GrossVolume,GrossVolume,Qto_ColumnBaseQuantities,IFC Standard Property.,NO,Number (unit in m3),1,-,Required,-,
Status,Status,Pset_ColumnCommon,IFC Standard Property.,YES,Text, Existing,-,Required,-,
IsExternal,IsExternal,Pset_ColumnCommon/Building Permit,IFC Standard Property.,YES,Boolean,YES/NO,-,Required,-,
ThermalTransmittance,ThermalTransmittance,Pset_ColumnCommon,IFC Standard Property.  This value is required if available,YES,Number (unit in W/(m2⋅K)),5.76,-,Conditional,-,
LoadBearing,LoadBearing,Pset_ColumnCommon/Building Permit,IFC Standard Property.,YES,Boolean,YES/NO,-,Required,-,
FireRating,FireRating,Pset_ColumnCommon,IFC Standard Property.,YES,integer (unit in minutes),60,-,Required,-,
Slope,Slope,Pset_ColumnCommon,IFC Standard Property.,YES,Number (unit in %),1,-,Required,-,
Capacity,Capacity,Pset_ColumnCommon,IFC Standard Property.,YES,Text,10,-,Required,-,
AssessmentDate,AssessmentDate,Pset_Condition,IFC Standard Property.,YES,Date,2021-01-01 00:00:00,-,N/A,-,
AssessmentCondition,AssessmentCondition,Pset_Condition,IFC Standard Property.,YES,Text,"Good, OK, Poor",-,N/A,-,
AssessmentDescription,AssessmentDescription,Pset_Condition,IFC Standard Property.,YES,Text ,Free Text,-,N/A,-,
ReinforcementVolumeRatio,ReinforcementVolumeRatio,Pset_ConcreteElementGeneral,IFC Standard Property.,YES,Number (unit in m3),0.71,-,Required,-,
ReinforcementAreaRatio,ReinforcementAreaRatio,Pset_ConcreteElementGeneral,IFC Standard Property.,YES,Number (unit in m2),0.24,-,Required,-,
ConcreteCover,ConcreteCover,Pset_ConcreteElementGeneral,IFC Standard Property.,YES,Text,1m,-,Required,-,
CompressiveStrength,CompressiveStrength,Building Permit,Concrete grade,YES,Number (Pa),30.25,-,Required,-,
IfcMaterial,IfcMaterial,Building Permit,This value is required if available,YES,Text,Concrete,-,Required,-,
RecycledConcreteRatio,RecycledConcreteRatio,Building Permit,This value is required if available,YES,Number (0..1),0.2,-,Conditional,-,
RecycledSteelRatio,RecycledSteelRatio,Building Permit,This value is required if available,YES,Number (0..1),0.5,-,Conditional,-,
MaterialPassportCodes,MaterialPassportCodes,Building Permit,This value is required if available,YES,Text,,-,Conditional,-,
ObjectTypeOverride,ObjectTypeOverride,Building Permit,"Allows for a custom value to be added, if no applicable PredefinedType enumerator can be found.",YES,Text,,-,-,-,
