Room (IfcSpace),,,,,,,,"Predefined Type, IFC 4",object type override data samples,
An IfcSpace represents an area or volume bounded actually or theoretically. Spaces are areas or volumes that provide for certain functions within a building.,,,,,,,,"SPACE, GFA, INTERNAL, EXTERNAL","SINGLELOADEDCORRIDOR, DOUBLELOADEDCORRIDOR, STALLDOORINSIDE, STALLDOOROUTSIDE, ELEVATORSGROUPLINE, ELEVATORSGROUPFACING, SINGLEOPENGRAGE, DOUBLEENCLOSEDGARAGE, ROOMUNDERSTAIR, ENTRANCE, CLOSEDAREAKIOSK, OPENMALLKIOSK",
Attribute,IFC Reference,Property Set,Description,User Input (YES/NO),Data Type,Data Sample,Preliminary Permit,Final Permit,Inspection Permits,
PredefinedType,PredefinedType,-,"Holds the entity specific enumerations from the IFC standard that classifies the entity. If a custom value is needed, the attribute ObjectTypeOverride has to be used to define such custom type, whereas the PredefinedType is set to USERDEFINED.",YES,Text,SPACE,-,Required,-,
Height,Height,Qto_SpaceBaseQuantities,IFC Standard Property.,NO,Number (unit in meter),2,-,Required,-,
Area,Area,Qto_SpaceBaseQuantities,IFC Standard Property.,NO,Number (unit in m2),3,-,Required,-,
Volume,Volume,Qto_SpaceBaseQuantities,IFC Standard Property.,NO,Number (unit in m3),3,-,Required,-,
Perimeter,Perimeter,Qto_SpaceBaseQuantities,IFC Standard Property.,NO,Number (unit in meter),10,-,Required,-,
PubliclyAccessible,PubliclyAccessible,Pset_SpaceCommon/Building Permit,IFC Standard Property. The value should be the same under Pset_SpaceCommon and Building Permit property set.,YES,Boolean,YES/NO,-,Required,-,
IsExternal,IsExternal,Pset_SpaceCommon/Building Permit,IFC Standard Property. The value should be the same under Pset_SpaceCommon and Building Permit property set.,YES,Boolean,YES/NO,-,Required,-,
HandicapAccessible,HandicapAccessible,Pset_SpaceCommon/Building Permit,IFC Standard Property. The value should be the same under Pset_SpaceCommon and Building Permit property set.,YES,Boolean ,YES/NO,-,Required,-,
SprinklerProtection,SprinklerProtection,Building Permit,"Because the Pset_SpaceFireSafetyRequirements propertyset is not currently exported in BIM authoring (such as Revit) when exporting the model as IFC, so the set attributes are defined under 'Building Permit' property set.",YES,Boolean,YES/NO,-,Required,-,
FireExit,FireExit,Building Permit,"Because the Pset_SpaceFireSafetyRequirements propertyset is not currently exported in BIM authoring (such as Revit)  when exporting the model as IFC, so the set attributes are defined under 'Building Permit' property set.",YES,Boolean,YES/NO,-,Required,-,
IsCovered,IsCovered,Building Permit,Indicate whether a space is covered.,YES,Boolean,YES/NO,-,Required,-,
IsLightWeightCovering,IsLightWeightCovering,Building Permit,Indicate whether a space is covered by lightweight elements. ,YES,Boolean,YES/NO,-,Required,-,
IsHabitableSpace,IsHabitableSpace,Building Permit,"Indicate if a space is for living, sleeping or eating involving occupancy for continuous period of time. Bathrooms, toilet rooms, closets, halls, storage or utility spaces and similar areas are not habitable spaces. A habitable space is always an occupied space",YES,Boolean,YES/NO,-,Required,-,
IsOccupiedSpace,IsOccupiedSpace,Building Permit,"Indicate whether a space is a enclosed space designed for human occupancy in which individuals congregate for amusement, labour, educational or similar purposes.",YES,Boolean,YES/NO,-,Required,-,
IsCirculationSpace,IsCirculationSpace,Building Permit,"Indicate whether a space is a passage for pedestrians in and around the built environment, including (but not limited to) corridors, hallways, courtyards, stairways and stair landings.",YES,Boolean,YES/NO,-,Required,-,
IsCommonFacility,IsCommonFacility,Building Permit,"Indicate whether a space is a public or private area within the boundaries of a plot or a development site for the building occupant’s recreation or convenience (such as landscaped areas, patios, swimming pools, play areas, prayer rooms, exercise areas and similar uses).",YES,Boolean,YES/NO,-,Required,-,
SpaceUsageCode,SpaceUsageCode,Building Permit,This is the 'Space Usage' code of a space. See Appendix C_Usages Codes.xlsx for more details. ,YES,Text,SC_25_15_10,-,Required,-,
SpaceUsageDescription,SpaceUsageDescription,Building Permit,This is the 'Space Usage' Description of a space. See Appendix C_Usages Codes.xlsx for more details. ,YES,Text,Living Room,-,Required,-,
UnitNo,UnitNo,Building Permit,The unit number the space belong to. An example of a unit is a one bedroom apartment. Note that not every space should be in a unit. For example 'Garbage Chute' doesn't need unit details. Not required for spaces that are not part of a unit.,YES,Text,1,-,Conditional,-,
UnitUsageCode,UnitUsageCode,Building Permit,This is the 'Unit Usage' Code of a unit. See Appendix C_Usages Codes.xlsx for more details. Not required for spaces that are not part of a unit.,YES,Text,RE_01,-,Conditional,-,
UnitUsageDescription,UnitUsageDescription,Building Permit,This is the 'Unit Usage' Description of a unit. See Appendix C_Usages Codes.xlsx for more details. Not required for spaces that are not part of a unit.,YES,Text,villa,-,Conditional,-,
UnitExtraInfo,UnitExtraInfo,Building Permit,This is the Unit extra information of a unit. See Appendix C_Usages Codes.xlsx for more details. Not required for spaces that are not part of a unit.,YES,Text,"[Showers:5],[WCs:2]",-,Conditional,-,
BuildingOccupancyUsageCode,BuildingOccupancyUsageCode,Building Permit,This is the 'Building Occupancy Usage' Code of a space. See Appendix C_Usages Codes.xlsx for more details. ,YES,Text,PB_04_03,-,Required,-,
BuildingOccupancyUsageDescription,BuildingOccupancyUsageDescription,Building Permit,This is the 'Building Occupancy Usage' Description of a space. See Appendix C_Usages Codes.xlsx for more details. ,YES,Text,Cinema,-,Required,-,
ZoneName,ZoneName,Building Permit,This is the 'Zone Name' of a space. See Appendix C_Usages Codes.xlsx for more details. ,YES,Text,LU_F1,-,Required,-,
ZoneObjectType,ZoneObjectType,Building Permit,This is the 'Zone Object' type of a space. See Appendix C_Usages Codes.xlsx for more details. ,YES,Text,LivingUnit,-,Required,-,
ObjectTypeOverride,ObjectTypeOverride,Building Permit,"Allows for a custom value to be added, if no applicable PredefinedType enumerator can be found.",YES,Text,SingleLoaded,-,Required,-,
