Curtain Wall (IfcCurtainWall),,,,,,,,"Predefined Type, IFC 4",Object type override sample,
"An IfcCurtain wall is an exterior wall of a building which is an assembly of components, hung from the edge of the floor/roof structure rather than bearing on a floor. ",,,,,,,,/,/,
Attribute,IFC Reference,Property Set,Description,User Input (YES/NO),Data Type,Data Sample,Preliminary Permit,Final Permit,Inspection Permits,
PredefinedType,PredefinedType,-,"Holds the entity specific enumerations from the IFC standard that classifies the entity. If a custom value is needed, the attribute ObjectTypeOverride has to be used to define such custom type, whereas the PredefinedType is set to USERDEFINED.",YES,Text,,-,-,-,
Length,Length,Qto_CurtainWallBaseQuantities,IFC Standard Property.,NO,Number (unit in meter),2,-,Required,-,
Width,Width,Qto_CurtainWallBaseQuantities,IFC Standard Property.,NO,Number (unit in meter),2,-,Required,-,
Height,Height,Qto_CurtainWallBaseQuantities,IFC Standard Property.,NO,Number (unit in meter),2,-,Required,-,
GrossSideArea,GrossSideArea,Qto_CurtainWallBaseQuantities,IFC Standard Property.,NO,Number (unit in m2),2,-,Required,-,
NetSideArea,NetSideArea,Qto_CurtainWallBaseQuantities,IFC Standard Property.,NO,Number (unit in m2),15,-,Required,-,
Area,Area,Qto_CurtainWallBaseQuantities,IFC Standard Property.,No,Number (unit in m2),40,-,Required,-,
Status,Status,Pset_CurtainWallCommon,IFC Standard Property.,YES,Text,"New, Existing",-,Required,-,
IsExternal,IsExternal,Pset_CurtainWallCommon,IFC Standard Property.,YES,Boolean,YES/NO,-,Required,-,
FireRating,FireRating,Pset_CurtainWallCommon,IFC Standard Property.,YES,Integer (unit in minutes),120,-,Required,-,
ThermalTransmittance,ThermalTransmittance,Pset_CurtainWallCommon,IFC Standard Property.,YES,Number (unit in W/(m2⋅K),5.7,-,Required,-,
AcousticRating,AcousticRating,Pset_CurtainWallCommon,IFC Standard Property.,YES,Text ,0.04,-,Required,-,
Combustible,Combustible,Pset_CurtainWallCommon,IFC Standard Property.,YES,Boolean,YES/NO,-,Required,-,
SurfaceSpreadOfFlame,SurfaceSpreadOfFlame,Pset_CurtainWallCommon,IFC Standard Property.,YES,Number,25,-,Required,-,
SolarReflectanceIndex,SolarReflectanceIndex,Building Permit,NA,YES,Number,0.8,-,Required,-,
LightReflectanceValue,LightReflectanceValue,Building Permit,NA,YES,Number,50,-,Required,-,
Color,Color,Building Permit,NA,YES,Text,Grey,-,Required,-,
IfcMaterial,IfcMaterial,Building Permit,NA,YES,Text,Glass,-,Required,-,
MaterialPassportCodes,MaterialPassportCodes,Building Permit,This value is required if available,YES,Text,,-,Conditional,-,
ObjectTypeOverride,ObjectTypeOverride,Building Permit,"Allows for a custom value to be added, if no applicable PredefinedType enumerator can be found.",YES,Text,,-,-,-,
